import time: self [us] | cumulative | imported package
import time:       103 |        103 |             meshio.neuroglancer._neuroglancer
import time:        80 |        183 |           meshio.neuroglancer
import time:       106 |        106 |             meshio.obj._obj
import time:        75 |        180 |           meshio.obj
import time:       115 |        115 |             meshio.off._off
import time:        70 |        184 |           meshio.off
import time:       167 |        167 |             meshio.permas._permas
import time:        69 |        236 |           meshio.permas
import time:       146 |        146 |             meshio.su2._su2
import time:        83 |        229 |           meshio.su2
import time:       101 |        101 |             meshio.svg._svg
import time:        72 |        173 |           meshio.svg
import time:       184 |        184 |             meshio.tecplot._tecplot
import time:        73 |        256 |           meshio.tecplot
import time:       119 |        119 |             meshio.tetgen._tetgen
import time:        68 |        187 |           meshio.tetgen
import time:       125 |        125 |             meshio.ugrid._ugrid
import time:        77 |        201 |           meshio.ugrid
import time:      1912 |       1912 |             meshio.wkt._wkt
import time:        79 |       1990 |           meshio.wkt
import time:       317 |      17479 |         meshio
import time:       197 |        197 |         celeri.constants
import time:      2152 |       2152 |             h5py._errors
import time:       816 |        816 |                 h5py.defs
import time:        43 |         43 |                   gc
import time:       306 |        349 |                 h5py._objects
import time:       127 |        127 |                 h5py.h5py_warnings
import time:       286 |       1576 |               h5py.h5
import time:       276 |       1851 |             h5py.version
import time:       189 |        189 |                     h5py.utils
import time:      2644 |       2832 |                   h5py.h5t
import time:       503 |        503 |                   h5py.h5s
import time:       193 |        193 |                   h5py.h5ac
import time:      1204 |       4731 |                 h5py.h5p
import time:       277 |       5007 |               h5py.h5r
import time:       173 |        173 |                 h5py._npystrings
import time:       266 |        439 |               h5py._proxy
import time:       426 |       5872 |             h5py._conv
import time:       278 |        278 |             h5py.h5z
import time:       364 |        364 |             h5py.h5a
import time:       600 |        600 |             h5py.h5d
import time:       402 |        402 |             h5py.h5ds
import time:       399 |        399 |               h5py.h5g
import time:       210 |        210 |               h5py.h5i
import time:       332 |        332 |               h5py.h5o
import time:       703 |       1642 |             h5py.h5f
import time:       375 |        375 |             h5py.h5fd
import time:       209 |        209 |             h5py.h5pl
import time:       110 |        110 |             h5py._hl
import time:        75 |         75 |                 h5py._hl.compat
import time:       445 |        519 |               h5py._hl.base
import time:       299 |        818 |             h5py._hl.filters
import time:       339 |        339 |                 h5py.h5l
import time:       366 |        366 |                   h5py._selector
import time:       245 |        245 |                   h5py._hl.selections
import time:       128 |        128 |                   h5py._hl.selections2
import time:       101 |        101 |                   h5py._hl.datatype
import time:       458 |        458 |                   h5py._hl.vds
import time:       609 |       1905 |                 h5py._hl.dataset
import time:       343 |       2587 |               h5py._hl.group
import time:       325 |       2912 |             h5py._hl.files
import time:       226 |        226 |             h5py._hl.attrs
import time:       450 |      18254 |           h5py
import time:       137 |        137 |             zarr._version
import time:        87 |         87 |               zarr.api
import time:        86 |         86 |                   zarr.abc
import time:       929 |       1015 |                 zarr.abc.store
import time:       485 |        485 |                       zarr.core.buffer.core
import time:        99 |         99 |                               donfig.version
import time:       292 |        292 |                                 pprint
import time:       329 |        329 |                                   yaml.error
import time:       322 |        322 |                                   yaml.tokens
import time:       324 |        324 |                                   yaml.events
import time:       225 |        225 |                                   yaml.nodes
import time:      2777 |       2777 |                                     yaml.reader
import time:       396 |        396 |                                     yaml.scanner
import time:       253 |        253 |                                     yaml.parser
import time:       154 |        154 |                                     yaml.composer
import time:       670 |        670 |                                     yaml.constructor
