import time: self [us] | cumulative | imported package
import time:      1677 |       2012 |           pydantic.json_schema
import time:       227 |        227 |           pydantic._internal._discriminated_union
import time:       194 |        194 |           pydantic._internal._known_annotated_metadata
import time:       467 |        467 |           pydantic._internal._schema_gather
import time:      1201 |       7423 |         pydantic._internal._generate_schema
import time:       149 |        149 |         pydantic._internal._signature
import time:       351 |       7921 |       pydantic._internal._model_construction
import time:        94 |         94 |                   importlib.metadata._text
import time:       158 |        252 |                 importlib.metadata._adapters
import time:      1405 |       1656 |               meshio.__about__
import time:        75 |         75 |                         xml
import time:        94 |        169 |                       xml.etree
import time:       367 |        367 |                         xml.etree.ElementPath
import time:       318 |        318 |                           pyexpat
import time:       203 |        521 |                         _elementtree
import time:       588 |       1476 |                       xml.etree.ElementTree
import time:       133 |       1777 |                     meshio._common
import time:       105 |        105 |                     meshio._exceptions
import time:        75 |         75 |                     meshio._files
import time:       279 |        279 |                         numpy._typing._add_docstring
import time:       111 |        389 |                       numpy.typing
import time:       196 |        196 |                       meshio._mesh
import time:       115 |        698 |                     meshio._helpers
import time:       395 |       3048 |                   meshio.ansys._ansys
import time:        74 |       3122 |                 meshio.ansys
import time:       211 |        211 |                   meshio.flac3d._flac3d
import time:        74 |        285 |                 meshio.flac3d
import time:       194 |        194 |                     shlex
import time:       161 |        354 |                   meshio.gmsh.common
import time:       153 |        153 |                     meshio.gmsh._gmsh22
import time:       127 |        127 |                     meshio.gmsh._gmsh40
import time:       146 |        146 |                     meshio.gmsh._gmsh41
import time:       119 |        543 |                   meshio.gmsh.main
import time:        86 |        982 |                 meshio.gmsh
import time:       163 |        163 |                   meshio.mdpa._mdpa
import time:        66 |        229 |                 meshio.mdpa
import time:       199 |        199 |                   meshio.ply._ply
import time:        71 |        269 |                 meshio.ply
import time:       132 |        132 |                   meshio.stl._stl
import time:        82 |        213 |                 meshio.stl
import time:       327 |        327 |                       meshio._vtk_common
import time:       204 |        530 |                     meshio.vtk._vtk_42
import time:       185 |        185 |                     meshio.vtk._vtk_51
import time:       110 |        825 |                   meshio.vtk._main
import time:        62 |        887 |                 meshio.vtk
import time:       261 |        261 |                   meshio.vtu._vtu
import time:        74 |        335 |                 meshio.vtu
import time:       106 |        106 |                     meshio.xdmf.common
import time:       199 |        305 |                   meshio.xdmf.main
import time:       180 |        180 |                   meshio.xdmf.time_series
import time:        75 |        559 |                 meshio.xdmf
import time:       189 |       7066 |               meshio._cli._ascii
import time:        84 |         84 |               meshio._cli._binary
import time:        87 |         87 |                   meshio.cgns._cgns
import time:        63 |        150 |                 meshio.cgns
import time:       107 |        107 |                   meshio.h5m._h5m
import time:        64 |        170 |                 meshio.h5m
import time:        83 |        402 |               meshio._cli._compress
import time:        66 |         66 |               meshio._cli._convert
import time:        62 |         62 |               meshio._cli._decompress
import time:        54 |         54 |               meshio._cli._info
import time:       149 |       9534 |             meshio._cli._main
import time:       120 |       9653 |           meshio._cli
import time:       160 |        160 |             meshio.abaqus._abaqus
import time:        61 |        221 |           meshio.abaqus
import time:       139 |        139 |             meshio.avsucd._avsucd
import time:        64 |        203 |           meshio.avsucd
import time:       125 |        125 |             meshio.dolfin._dolfin
import time:        60 |        185 |           meshio.dolfin
import time:       154 |        154 |             meshio.exodus._exodus
import time:        64 |        218 |           meshio.exodus
import time:       121 |        121 |             meshio.hmf._hmf
import time:        63 |        183 |           meshio.hmf
import time:       177 |        177 |             meshio.med._med
import time:        71 |        247 |           meshio.med
import time:       149 |        149 |               meshio.medit._medit_internal
